game_date,start_et,visitor_team,home_team,visitor_pts,home_pts
2026-04-04,7:00p,Detroit Pistons,Philadelphia 76ers,116,93
2026-04-05,3:30p,Toronto Raptors,Boston Celtics,101,115
2026-04-05,3:30p,Washington Wizards,Brooklyn Nets,115,121
2026-04-05,3:30p,Phoenix Suns,Chicago Bulls,120,110
2026-04-05,3:30p,Memphis Grizzlies,Milwaukee Bucks,115,131
2026-04-05,6:00p,Indiana Pacers,Cleveland Cavaliers,108,117
2026-04-05,7:00p,Charlotte Hornets,Minnesota Timberwolves,122,108
2026-04-05,7:00p,Orlando Magic,New Orleans Pelicans,112,108
2026-04-05,7:00p,Utah Jazz,Oklahoma City Thunder,111,146
2026-04-05,7:30p,Los Angeles Lakers,Dallas Mavericks,128,134
2026-04-05,9:00p,Los Angeles Clippers,Sacramento Kings,138,109
2026-04-05,10:00p,Houston Rockets,Golden State Warriors,117,116
2026-04-06,7:00p,New York Knicks,Atlanta Hawks,108,105
2026-04-06,7:00p,Detroit Pistons,Orlando Magic,107,123
2026-04-06,8:00p,Cleveland Cavaliers,Memphis Grizzlies,142,126
2026-04-06,8:00p,Philadelphia 76ers,San Antonio Spurs,102,115
2026-04-06,9:00p,Portland Trail Blazers,Denver Nuggets,132,137
2026-04-07,7:00p,Minnesota Timberwolves,Indiana Pacers,124,104
2026-04-07,7:00p,Chicago Bulls,Washington Wizards,129,98
2026-04-07,7:30p,Milwaukee Bucks,Brooklyn Nets,90,96
2026-04-07,7:30p,Miami Heat,Toronto Raptors,95,121
2026-04-07,8:00p,Charlotte Hornets,Boston Celtics,102,113
2026-04-07,8:00p,Utah Jazz,New Orleans Pelicans,137,156
2026-04-07,10:00p,Sacramento Kings,Golden State Warriors,105,110
2026-04-07,10:30p,Dallas Mavericks,Los Angeles Clippers,103,116
2026-04-07,10:30p,Oklahoma City Thunder,Los Angeles Lakers,123,87
2026-04-07,11:00p,Houston Rockets,Phoenix Suns,119,105
2026-04-08,7:00p,Atlanta Hawks,Cleveland Cavaliers,116,122
2026-04-08,7:00p,Milwaukee Bucks,Detroit Pistons,111,137
2026-04-08,7:00p,Minnesota Timberwolves,Orlando Magic,120,132
2026-04-08,9:00p,Memphis Grizzlies,Denver Nuggets,119,136
2026-04-08,9:30p,Portland Trail Blazers,San Antonio Spurs,101,112
2026-04-08,10:00p,Oklahoma City Thunder,Los Angeles Clippers,128,110
2026-04-08,10:00p,Dallas Mavericks,Phoenix Suns,107,112
2026-04-09,7:00p,Miami Heat,Toronto Raptors,114,128
2026-04-09,7:00p,Chicago Bulls,Washington Wizards,119,108
2026-04-09,7:30p,Indiana Pacers,Brooklyn Nets,123,94
2026-04-09,7:30p,Boston Celtics,New York Knicks,106,112
2026-04-09,8:00p,Philadelphia 76ers,Houston Rockets,102,113
2026-04-09,10:00p,Los Angeles Lakers,Golden State Warriors,119,103
2026-04-10,7:00p,Cleveland Cavaliers,Atlanta Hawks,102,124
2026-04-10,7:00p,Detroit Pistons,Charlotte Hornets,118,100
2026-04-10,7:00p,Miami Heat,Washington Wizards,140,117
2026-04-10,7:30p,New Orleans Pelicans,Boston Celtics,118,144
2026-04-10,7:30p,Philadelphia 76ers,Indiana Pacers,105,94
2026-04-10,7:30p,Toronto Raptors,New York Knicks,95,112
2026-04-10,8:00p,Orlando Magic,Chicago Bulls,127,103
2026-04-10,8:00p,Brooklyn Nets,Milwaukee Bucks,108,125
2026-04-10,8:00p,Dallas Mavericks,San Antonio Spurs,120,139
2026-04-10,9:00p,Oklahoma City Thunder,Denver Nuggets,107,127
2026-04-10,9:30p,Minnesota Timberwolves,Houston Rockets,136,132
2026-04-10,9:30p,Memphis Grizzlies,Utah Jazz,101,147
2026-04-10,10:00p,Los Angeles Clippers,Portland Trail Blazers,97,116
2026-04-10,10:00p,Golden State Warriors,Sacramento Kings,118,124
2026-04-10,10:30p,Phoenix Suns,Los Angeles Lakers,73,101
2026-04-12,6:00p,Orlando Magic,Boston Celtics,108,113
2026-04-12,6:00p,Washington Wizards,Cleveland Cavaliers,117,130
2026-04-12,6:00p,Detroit Pistons,Indiana Pacers,133,121
2026-04-12,6:00p,Atlanta Hawks,Miami Heat,117,143
2026-04-12,6:00p,Charlotte Hornets,New York Knicks,110,96
2026-04-12,6:00p,Milwaukee Bucks,Philadelphia 76ers,106,126
2026-04-12,6:00p,Brooklyn Nets,Toronto Raptors,101,136
2026-04-12,8:30p,Chicago Bulls,Dallas Mavericks,128,149
2026-04-12,8:30p,Memphis Grizzlies,Houston Rockets,101,132
2026-04-12,8:30p,Golden State Warriors,Los Angeles Clippers,110,115
2026-04-12,8:30p,Utah Jazz,Los Angeles Lakers,107,131
2026-04-12,8:30p,New Orleans Pelicans,Minnesota Timberwolves,126,132
2026-04-12,8:30p,Phoenix Suns,Oklahoma City Thunder,135,103
2026-04-12,8:30p,Sacramento Kings,Portland Trail Blazers,110,122
2026-04-12,8:30p,Denver Nuggets,San Antonio Spurs,128,118
2026-04-14,7:30p,Miami Heat,Charlotte Hornets,126,127
2026-04-14,10:00p,Portland Trail Blazers,Phoenix Suns,114,110
2026-04-15,7:30p,Orlando Magic,Philadelphia 76ers,97,109
2026-04-15,10:00p,Golden State Warriors,Los Angeles Clippers,126,121
2026-04-17,7:30p,Charlotte Hornets,Orlando Magic,90,121
2026-04-17,10:00p,Golden State Warriors,Phoenix Suns,96,111
2026-04-18,1:00p,Toronto Raptors,Cleveland Cavaliers,113,126
2026-04-18,3:30p,Minnesota Timberwolves,Denver Nuggets,105,116
2026-04-18,6:00p,Atlanta Hawks,New York Knicks,102,113
2026-04-18,8:30p,Houston Rockets,Los Angeles Lakers,98,107
2026-04-19,1:00p,Philadelphia 76ers,Boston Celtics,91,123
2026-04-19,3:30p,Phoenix Suns,Oklahoma City Thunder,84,119
2026-04-19,6:30p,Orlando Magic,Detroit Pistons,112,101
2026-04-19,9:00p,Portland Trail Blazers,San Antonio Spurs,98,111
2026-04-20,7:00p,Toronto Raptors,Cleveland Cavaliers,105,115
2026-04-20,8:00p,Atlanta Hawks,New York Knicks,107,106
2026-04-20,10:30p,Minnesota Timberwolves,Denver Nuggets,119,114
2026-04-21,7:00p,Philadelphia 76ers,Boston Celtics,111,97
2026-04-21,8:00p,Portland Trail Blazers,San Antonio Spurs,106,103
2026-04-21,10:30p,Houston Rockets,Los Angeles Lakers,94,101
2026-04-22,7:00p,Orlando Magic,Detroit Pistons,83,98
2026-04-22,9:30p,Phoenix Suns,Oklahoma City Thunder,107,120
2026-04-23,7:00p,New York Knicks,Atlanta Hawks,108,109
2026-04-23,8:00p,Cleveland Cavaliers,Toronto Raptors,104,126
2026-04-23,9:30p,Denver Nuggets,Minnesota Timberwolves,96,113
2026-04-24,7:00p,Boston Celtics,Philadelphia 76ers,108,100
2026-04-24,8:00p,Los Angeles Lakers,Houston Rockets,112,108
2026-04-24,10:30p,San Antonio Spurs,Portland Trail Blazers,120,108
2026-04-25,1:00p,Detroit Pistons,Orlando Magic,105,113
2026-04-25,3:30p,Oklahoma City Thunder,Phoenix Suns,121,109
2026-04-25,6:00p,New York Knicks,Atlanta Hawks,114,98
2026-04-25,8:30p,Denver Nuggets,Minnesota Timberwolves,96,112
2026-04-26,1:00p,Cleveland Cavaliers,Toronto Raptors,89,93
2026-04-26,3:30p,San Antonio Spurs,Portland Trail Blazers,114,93
2026-04-26,7:00p,Boston Celtics,Philadelphia 76ers,128,96
2026-04-26,9:30p,Los Angeles Lakers,Houston Rockets,96,115
2026-04-27,8:00p,Detroit Pistons,Orlando Magic,88,94
2026-04-27,9:30p,Oklahoma City Thunder,Phoenix Suns,131,122
2026-04-27,10:30p,Minnesota Timberwolves,Denver Nuggets,113,125
2026-04-28,7:00p,Philadelphia 76ers,Boston Celtics,113,97
2026-04-28,8:00p,Atlanta Hawks,New York Knicks,97,126
2026-04-28,9:30p,Portland Trail Blazers,San Antonio Spurs,95,114
2026-04-29,7:00p,Orlando Magic,Detroit Pistons,109,116
2026-04-29,7:30p,Toronto Raptors,Cleveland Cavaliers,120,125
2026-04-29,10:00p,Houston Rockets,Los Angeles Lakers,99,93
2026-04-30,7:00p,New York Knicks,Atlanta Hawks,140,89
2026-04-30,8:00p,Boston Celtics,Philadelphia 76ers,93,106
2026-04-30,9:30p,Denver Nuggets,Minnesota Timberwolves,98,110
2026-05-01,7:00p,Detroit Pistons,Orlando Magic,93,79
2026-05-01,7:30p,Cleveland Cavaliers,Toronto Raptors,110,112
2026-05-01,9:30p,Los Angeles Lakers,Houston Rockets,98,78
2026-05-02,7:30p,Philadelphia 76ers,Boston Celtics,109,100
2026-05-03,3:30p,Orlando Magic,Detroit Pistons,94,116
2026-05-03,7:30p,Toronto Raptors,Cleveland Cavaliers,102,114
2026-05-04,8:00p,Philadelphia 76ers,New York Knicks,98,137
2026-05-04,9:30p,Minnesota Timberwolves,San Antonio Spurs,104,102
2026-05-05,7:00p,Cleveland Cavaliers,Detroit Pistons,101,111
2026-05-05,8:30p,Los Angeles Lakers,Oklahoma City Thunder,90,108
2026-05-06,7:00p,Philadelphia 76ers,New York Knicks,102,108
2026-05-06,9:30p,Minnesota Timberwolves,San Antonio Spurs,95,133
2026-05-07,7:00p,Cleveland Cavaliers,Detroit Pistons,97,107
2026-05-07,9:30p,Los Angeles Lakers,Oklahoma City Thunder,107,125
2026-05-08,7:00p,New York Knicks,Philadelphia 76ers,108,94
2026-05-08,9:30p,San Antonio Spurs,Minnesota Timberwolves,115,108
2026-05-09,3:00p,Detroit Pistons,Cleveland Cavaliers,109,116
2026-05-09,8:30p,Oklahoma City Thunder,Los Angeles Lakers,131,108
2026-05-10,3:30p,New York Knicks,Philadelphia 76ers,144,114
2026-05-10,7:30p,San Antonio Spurs,Minnesota Timberwolves,109,114
2026-05-11,8:00p,Detroit Pistons,Cleveland Cavaliers,103,112
2026-05-11,10:30p,Oklahoma City Thunder,Los Angeles Lakers,115,110
2026-05-12,8:00p,Minnesota Timberwolves,San Antonio Spurs,97,126
2026-05-13,8:00p,Cleveland Cavaliers,Detroit Pistons,117,113
2026-05-15,7:00p,Detroit Pistons,Cleveland Cavaliers,115,94
2026-05-15,9:30p,San Antonio Spurs,Minnesota Timberwolves,139,109
2026-05-17,8:00p,Cleveland Cavaliers,Detroit Pistons,125,94
2026-05-18,8:30p,San Antonio Spurs,Oklahoma City Thunder,122,115
2026-05-19,8:00p,Cleveland Cavaliers,New York Knicks,104,115
2026-05-20,8:30p,San Antonio Spurs,Oklahoma City Thunder,113,122
2026-05-21,8:00p,Cleveland Cavaliers,New York Knicks,93,109
2026-05-22,8:30p,Oklahoma City Thunder,San Antonio Spurs,123,108
2026-05-23,8:00p,New York Knicks,Cleveland Cavaliers,121,108
2026-05-24,8:00p,Oklahoma City Thunder,San Antonio Spurs,82,103
2026-05-25,8:00p,New York Knicks,Cleveland Cavaliers,130,93
2026-05-26,8:30p,San Antonio Spurs,Oklahoma City Thunder,114,127
2026-05-28,8:30p,Oklahoma City Thunder,San Antonio Spurs,91,118
2026-05-30,8:00p,San Antonio Spurs,Oklahoma City Thunder,111,103
2026-06-03,8:30p,New York Knicks,San Antonio Spurs,105,95
2026-06-05,8:30p,New York Knicks,San Antonio Spurs,105,104
2026-06-08,8:30p,San Antonio Spurs,New York Knicks,115,111
2026-06-10,8:30p,San Antonio Spurs,New York Knicks,106,107
2026-06-13,8:30p,New York Knicks,San Antonio Spurs,94,90
